PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Elliott, BJ; Willis, WB; Bowman, CN				Elliott, BJ; Willis, WB; Bowman, CN			Pseudo-crown ethers as fixed site carriers in facilitated transport membranes	JOURNAL OF MEMBRANE SCIENCE			English	Article						facilitated transport; composite membrane; crown ether; metal complexation	RC CIRCUIT MODEL; DIVINYL ETHERS; POLYMERS; ION	Polymerizing pseudo-crown ethers in the pores of a 70 mu m thick polyethylene membrane support produced polymeric fixed site carrier membranes for facilitated transport separations. Pseudo-crown ethers were synthesized from the photopolymerization of metal : poly(ethylene glycol 200) diacrylate (PEG200DA) complexes. The metal:monomer complex led to a near-circular conformation of the monomer in which the two reactive endgroups were in close proximity; thus, the probability of intramolecular cyclization (i.e. pseudo-crown ether formation) was increased. Facilitated transport membranes using pseudo-crown ethers as carrier species were selective for alkali metals over transition and lanthanide metals. The K over Na selectivity was as high as 1.5, while the selectivity of K over Nd3+ was as high as 3700. The flux and selectivity of metal ions were a function of carrier concentration and type as well as the cross-linking of the pseudo-crown ether network. (C) 2000 Elsevier Science B.V. All rights reserved.	Univ Colorado, Dept Chem Engn, Boulder, CO 80309 USA	Bowman, CN (reprint author), Univ Colorado, Dept Chem Engn, Boulder, CO 80309 USA.		Bowman, Christopher/B-1490-2008	Bowman, Christopher/0000-0001-8458-7723				23	18	20	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	APR 15	2000	168	1-2					109	119		10.1016/S0376-7388(99)00307-5		11	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	295ZP	WOS:000085998800011		
J	Shao, ZP; Cong, Y; Xiong, GX; Sheng, SS; Yang, WS				Shao, ZP; Cong, Y; Xiong, GX; Sheng, SS; Yang, WS			Perovskite-type B-site Bi-doped ceramic membranes for oxygen separation	CHINESE SCIENCE BULLETIN			English	Article						Bi2O3; mixed conductor; inorganic membrane; perovskite; oxygen permeation	PERMEATION; ION	Novel mixed conducting oxides, B-site Bi-doped perovskites were exploited and synthesized. Cubic perovskite structures were formed for BaBi0.2COyFe0.8-yO3-delta (y less than or equal to 0.4) and BaBixCo0.2Fe0.8-xP3-delta (x=0.1-0.5) The materials exhibited considerable high oxygen permeability at high temperature. The oxygen permeation flux of BaBi0.2Co0.35Fe0.45O3-delta membrane reached about 0.77 x 10(-6) mol/cm(2) s under an air/helium oxygen partial pressure gradient at 900 degrees C, which was much higher than that of other bismuth-contained mixed conducting membranes. The permeation fluxes of the materials increased with the increase of cobalt content, but no apparent simple relationship was found with the bismuth content. The materials also demonstrated excellent reversibility of oxygen adsorption and desorption. Stable time-related oxygen permeation fluxes were found for BaBi0.2CO0.35Fe0.45O3-delta and BaBi0.3Co0.2Fe0.5O3-delta a membranes at 875 degrees C.	Chinese Acad Sci, Dalian Inst Chem Phys, State Key Lab Catalysis, Dalian 116023, Peoples R China	Xiong, GX (reprint author), Chinese Acad Sci, Dalian Inst Chem Phys, State Key Lab Catalysis, Dalian 116023, Peoples R China.		shao, zongping/B-5250-2013					17	0	2	SCIENCE PRESS	BEIJING	16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA	1001-6538			CHINESE SCI BULL	Chin. Sci. Bull.	MAY	2000	45	10					889	893		10.1007/BF02886194		5	Multidisciplinary Sciences	Science & Technology - Other Topics	338JP	WOS:000088416300006		
J	Ohi, Y; Kim, R; Toge, T				Ohi, Y; Kim, R; Toge, T			Overcoming of multidrug resistance by introducing the apoptosis gene, bcl-Xs, into MRP-overexpressing drug resistant cells	INTERNATIONAL JOURNAL OF ONCOLOGY			English	Article						multidrug resistance; multidrug resistance associated protein; apoptosis; bcl-Xs	PROTEIN MRP; P-GLYCOPROTEIN; TOPOISOMERASE-II; CANCER-THERAPY; EXPORT PUMP; EXPRESSION; CARCINOMA; LINES; ACCUMULATION; TUMORS	Multidrug resistance associated protein (MRP) is one of drug transport membranes that confer multidrug resistance in cancer cells. Multidrug resistance has been known to be associated with resistance to apoptosis. In this study, using MRP overexpressing multidrug resistant nasopharyngeal cancer cells, we examined the expression of apoptosis related genes including p53, p21(WAFl), bax and bcl-Xs between drug sensitive KB and its resistant KB/7D cells. We also examined whether the introduction of apoptosis related gene could increase the sensitivity to anticancer drugs in association with apoptotic cell death. The relative resistances to anticancer drugs in KB/7D cells evaluated by IC50 values were 3.6, 61.3, 10.4 and 10.5 to adriamycin (ADM), etoposide (VP-16), vincristine (VCR) and vindesine (VDS), respectively. The resistance to anticancer drugs in KB/7D cells was associated with the attenuation of internucleosomal DNA ladder formation in apoptosis. Of important, the mRNA expression of bcl-Xs gene in KB/7D cells was decreased in one-fourth as compared to that of KB cells among the apoptosis genes. The mRNA expression of bcl-Xs gene in a bcl-Xs transfected clone (KB/7Dbcl-Xs) was increased about 2-fold compared to that of KB/7Dneo cells, while the mRNA expression of MRP gene was not significantly different in KB/7bcl-Xs and KB/7Dneo cells. The sensitivities to anticancer drugs including ADM, VCR and VDS except VP-16 were increased in KB/7Dbcl-Xs cells, in turn, the relative resistance in KB/7Dbcl-Xs cells was decreased to 1.4, 4.0, and 3.0 in ADM, VCR and VDS, respectively, as compared to those of KB/7Dneo cells. Of interest, the studies on the accumulation of [H-3]VCR showed that the decrease of [3H]VCR accumulation in KB/7Dbcl-Xs was not significantly different from that of KB/7Dneo cells. Collectively, these results indicated that the mechanism(s) of drug resistance in KB/7D cells could be explained at least by two factors: a) reduced drug accumulation mediated by MRP; b) resistance to apoptosis due to the decreased expression of the bcl-Xs gene. These results also indicated that the multidrug resistance mediated by MRP might be partially overcome by introducing apoptosis gene into drug resistant cells without modulation of MRP function in drug accumulation.	Hiroshima Univ, Res Inst Radiat Biol & Med, Dept Surg Oncol, Minami Ku, Hiroshima 7348553, Japan	Kim, R (reprint author), Hiroshima Univ, Res Inst Radiat Biol & Med, Dept Surg Oncol, Minami Ku, 1-2-3 Kasumi, Hiroshima 7348553, Japan.							45	10	12	PROFESSOR D A SPANDIDOS	ATHENS	1, S MERKOURI ST, EDITORIAL OFFICE,, ATHENS 116 35, GREECE	1019-6439			INT J ONCOL	Int. J. Oncol.	MAY	2000	16	5					959	969				11	Oncology	Oncology	305ZB	WOS:000086570700012	10762632	
J	Kharton, VV; Yaremchenko, AA; Naumovich, EN; Marques, FMB				Kharton, VV; Yaremchenko, AA; Naumovich, EN; Marques, FMB			Research on the electrochemistry of oxygen ion conductors in the former Soviet Union - III. HfO2-, CeO2- and ThO2-based oxides	JOURNAL OF SOLID STATE ELECTROCHEMISTRY			English	Review						stabilized hafnia; doped ceria; thoria; solid electrolyte; ionic conductivity	ELECTRICAL-CONDUCTION; SYSTEMS; ELECTROLYTES; ELECTRODES	This review is focused on the analysis of experimental results on oxygen ion-conducting ceramic materials based on HfO2, CeO2, and ThO2, published in the former Soviet Union. In particular, the physicochemical and transport properties of fluorite-related oxides and the characteristics of electronic conduction in these solid electrolytes are briefly reviewed. Emphasis is given to electrocatalytic and electrochemical properties of cerium-containing oxides, which are promising materials for electrodes of electrochemical cells operating in reducing atmospheres, and mixed-conducting membranes. A comparative analysis of specific features of the solid-electrolyte ceramics based on hafnia, zirconia, ceria, and thoria is performed in order to reveal basic tendencies of oxygen ionic transport in fluorite-type oxides, and to identify the potential applicability of these materials in various high-temperature electrochemical devices.	Univ Aveiro, UIMC, Dept Ceram & Glass Engn, P-3810193 Aveiro, Portugal; Belarussian State Univ, Inst Physicochem Problems, Minsk 220080, Byelarus	Kharton, VV (reprint author), Univ Aveiro, UIMC, Dept Ceram & Glass Engn, P-3810193 Aveiro, Portugal.		MARQUES, FERNANDO/I-4504-2012; Yaremchenko, Aleksey/H-2977-2013; Kharton, Vladislav /P-6306-2014	MARQUES, FERNANDO/0000-0001-8631-6783; Yaremchenko, Aleksey/0000-0002-3837-5946; 				276	61	61	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010 USA	1432-8488			J SOLID STATE ELECTR	J. Solid State Electrochem.	MAY	2000	4	5					243	266		10.1007/s100080050202		24	Electrochemistry	Electrochemistry	320EG	WOS:000087388400001		
J	Goering, RM; Bowman, CN; Koval, CA; Noble, RD; Ashley, ME				Goering, RM; Bowman, CN; Koval, CA; Noble, RD; Ashley, ME			Complexation structure and transport mechanism of 1,5-hexadiene and 1-hexene through silver facilitated transport membranes	JOURNAL OF MEMBRANE SCIENCE			English	Article						silver-facilitated transport membranes; olefin-silver complexation; 1,5-hexadiene	ION-EXCHANGE MEMBRANES; IONOMER MEMBRANES; SEPARATION; ETHYLENE; STYRENE; ETHANE	The purpose of this work was to investigate olefin/silver (I) complexation and transport through silver facilitated transport membranes. Specifically, the transport of 1,5-hexadiene and of 1-hexene within these membranes was studied and a hypothetical conformation for the silver (I) complex of 1,5-hexadiene in aqueous systems is discussed. Absorption of 1-hexene and 1,5-hexadiene into aqueous silver nitrate solutions revealed predominantly 1:1 complexation of these olefins with silver. Absorption and transport experiments in silver-exchanged Neosepta (R) CM-1 membranes confirmed the predominance of 1:1 1,5-hexadiene/silver (I) complexation in this membrane as well, showing that transport through these membranes occurs primarily through a 1:1 1,5-hexadiene/silver (1) complexation mechanism. (C) 2000 Elsevier Science B.V. All rights reserved.	Univ Colorado, Dept Chem Engn, Boulder, CO 80309 USA; Univ Colorado, Dept Chem & Biochem, Boulder, CO 80309 USA	Bowman, CN (reprint author), Univ Colorado, Dept Chem Engn, Campus Box 424, Boulder, CO 80309 USA.		Bowman, Christopher/B-1490-2008	Bowman, Christopher/0000-0001-8458-7723				20	13	15	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	JUL 1	2000	172	1-2					49	57		10.1016/S0376-7388(00)00319-7		9	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	318NA	WOS:000087289200006		
J	Kharton, VV; Kovalevsky, AV; Viskup, AP; Figueiredo, FM; Yaremchenko, AA; Naumovich, EN; Marques, FMB				Kharton, VV; Kovalevsky, AV; Viskup, AP; Figueiredo, FM; Yaremchenko, AA; Naumovich, EN; Marques, FMB			Oxygen permeability of Ce0.8Gd0.2O2-delta-La0.7Sr0.3MnO3-delta composite membranes	JOURNAL OF THE ELECTROCHEMICAL SOCIETY			English	Article							FORMER SOVIET-UNION; ELECTRICAL-CONDUCTIVITY; SEPARATION MEMBRANES; ION CONDUCTORS; ELECTROCHEMISTRY; ELECTROLYTES; REACTORS; OXIDES; CERIA	Ce0.8Gd0.2O2-delta (CGO) and La(0.7)Sr(0.3)Mno(3-delta) (LSM) possess similar thermal expansion coefficients and were thus combined in dual-phase membranes for oxygen separation. Studies of oxygen permeation through CGO-LSM composite ceramics, containing similar volume fractions of the phases, showed that the oxygen transfer is limited by the bulk ionic conductivity. The oxygen conduction in the composites depends strongly on processing conditions, decreasing with interdiffusion of the phase components. Blocking oxygen ionic conduction is assumed to be due to formation of layers with low ionic conductivity at the CGO grain boundaries, caused by diffusion of lanthanum and strontium into CGO. The permeation fluxes through CGO-LSM membranes at high feed-side oxygen pressures(1-50 atm) exhibit Wagner-type behavior and exceed significantly the oxygen permeability at lower oxygen pressures. (C) 2000 The Electrochemical Society. S0013-4651(99)10-096-X. All rights reserved.	Belarussian State Univ, Inst Physicochem Problems, Minsk 220080, Byelarus; Univ Aveiro, UIMC, Dept Ceram & Glass Engn, P-3810 Aveiro, Portugal	Kharton, VV (reprint author), Belarussian State Univ, Inst Physicochem Problems, Minsk 220080, Byelarus.		MARQUES, FERNANDO/I-4504-2012; Yaremchenko, Aleksey/H-2977-2013; Figueiredo, Filipe/A-6299-2009; Kovalevsky, Andrei/H-3706-2011; Kharton, Vladislav /P-6306-2014	MARQUES, FERNANDO/0000-0001-8631-6783; Yaremchenko, Aleksey/0000-0002-3837-5946; Figueiredo, Filipe/0000-0001-7799-2608; Kovalevsky, Andrei/0000-0001-5814-9797; 				33	108	109	ELECTROCHEMICAL SOC INC	PENNINGTON	65 SOUTH MAIN STREET, PENNINGTON, NJ 08534 USA	0013-4651			J ELECTROCHEM SOC	J. Electrochem. Soc.	JUL	2000	147	7					2814	2821		10.1149/1.1393611		8	Electrochemistry; Materials Science, Coatings & Films	Electrochemistry; Materials Science	333HX	WOS:000088125800065		
J	Koval, CA; Kaljevic, L; Noble, RD				Koval, CA; Kaljevic, L; Noble, RD			Membrane materials as ligands for Ag(I) ions: Design and use for hydrocarbon separations.	MACROMOLECULAR SYMPOSIA			English	Article; Proceedings Paper	IUPAC 8th International Symposium on Macromolecule-Metal Complexes (MMC-8)	SEP 05-09, 1999	TOKYO, JAPAN	Int Union Pure & Appl Chem	WASDA UNIV		ACID NAFION MEMBRANES; FACILITATED TRANSPORT; LIQUID MEMBRANES; SILVER-NITRATE; BENZENE; CARRIER; SURFACE	The selectivity and reversibility of the reaction with Ag(I) makes it potentially interesting for separating alkenes and arenes from hydrocarbon mixtures, which is an energy-intensive industrial process. Adaptation of Ag(I) complexation chemistry for use in membrane separations has many challenges. We have investigated many aspects of Ag(I)-containing facilitated transport membranes. Recent results on the preparation and characterization of composite membrane materials are described.	Univ Colorado, Dept Chem & Biochem, Boulder, CO 80309 USA; Univ Colorado, Dept Chem Engn, Boulder, CO 80309 USA	Koval, CA (reprint author), Univ Colorado, Dept Chem & Biochem, Boulder, CO 80309 USA.							17	1	1	WILEY-V C H VERLAG GMBH	BERLIN	MUHLENSTRASSE 33-34, D-13187 BERLIN, GERMANY	1022-1360			MACROMOL SYMP	Macromol. Symp.	JUL	2000	156						37	44		10.1002/1521-3900(200007)156:1<37::AID-MASY37>3.0.CO;2-E		8	Polymer Science	Polymer Science	359VD	WOS:000089632000006		
J	Hong, SU; Jin, JH; Won, J; Kang, YS				Hong, SU; Jin, JH; Won, J; Kang, YS			Polymer-salt complexes containing silver ions and their application to facilitated olefin transport membranes	ADVANCED MATERIALS			English	Article							RC CIRCUIT MODEL; ELECTROLYTES; CONDUCTIVITY; CARRIER	The separation of olefin/paraffin mixtures using polymer-silver complexes is explored here. Composite membranes of 1:1 (C=O/Ag) poly(2-ethyl-2-oxazoline)/AgBF4 on microporous polysulfone support are shown to facilitate the transport of propylene, with its permeance and pure gas selectivity over propane increasing 450-fold when compared to pure polymer membranes.	Korea Inst Sci & Technol, Ctr Facilitated Transport Membranes, Seoul 130650, South Korea	Kang, YS (reprint author), Korea Inst Sci & Technol, Ctr Facilitated Transport Membranes, POB 131, Seoul 130650, South Korea.							21	93	98	WILEY-V C H VERLAG GMBH	BERLIN	MUHLENSTRASSE 33-34, D-13187 BERLIN, GERMANY	0935-9648			ADV MATER	Adv. Mater.	JUL 5	2000	12	13					968	+		10.1002/1521-4095(200006)12:13<968::AID-ADMA968>3.3.CO;2-N		5	Chemistry, Multidisciplinary; Chemistry, Physical; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Physics, Applied; Physics, Condensed Matter	Chemistry; Science & Technology - Other Topics; Materials Science; Physics	336FF	WOS:000088290700008		
J	Kim, J; Lin, YS				Kim, J; Lin, YS			Synthesis and oxygen-permeation properties of thin YSZ/Pd composite membranes	AICHE JOURNAL			English	Article							YTTRIA-STABILIZED ZIRCONIA; CERAMIC MEMBRANE; OXIDE; DEPOSITION; METHANE	Thin dense yttria-stabilized-zirconia (YSZ)/Pd composite (dual-phase) membranes were fabricated on porous YSZ membranes by a new approach that combines the reservoir method and chemical vapor deposition (CVD) technique. A thin porous YSZ layer was coated on a porous alumina support by dip coating the YSZ suspension. A continuous Pd phase was formed inside pores of the YSZ layer by the reservoir method. The residual pores of the YSZ/Pd layer were plugged with yttria/zirconia by CVD to ensure the gas tightness of the membranes. The oxygen-permeation fluxes through these composite (dual-phase) membranes, measured in situ in the CVD reactor are 20 x 10(-8) and 4.8 X 10(-8) mol/cm(2).s at 1,050 degrees C when air and oxygen are used as the permeate gases, respectively. These oxygen-permeation values are about I order of magnitude higher than those of pure YSZ membranes prepared under similar conditions. The apparent activation energies for oxygen permeation at 900 -1,050 degrees C are 193 kJ/mol for thin YSZ/Pd composite (dual-phase) membranes and 124 kJ/mol for pure YSZ membranes. These results are explained in terms of relative importance of various mass-transfer steps for oxygen permeation and microstructure of the YSZ/Pd composite membranes prepared by this technique.	Univ Cincinnati, Dept Chem Engn, Cincinnati, OH 45221 USA	Lin, YS (reprint author), Univ Cincinnati, Dept Chem Engn, Cincinnati, OH 45221 USA.		Lin, Jerry/F-1235-2010; Kim, Jinsoo/G-6348-2012	Kim, Jinsoo/0000-0002-1376-9498				23	17	17	AMER INST CHEMICAL ENGINEERS	NEW YORK	3 PARK AVE, NEW YORK, NY 10016-5901 USA	0001-1541			AICHE J	AICHE J.	AUG	2000	46	8					1521	1529		10.1002/aic.690460805		9	Engineering, Chemical	Engineering	343NU	WOS:000088709100004		
J	Dyer, PN; Richards, RE; Russek, SL; Taylor, DM				Dyer, PN; Richards, RE; Russek, SL; Taylor, DM			Ion transport membrane technology for oxygen separation and syngas production	SOLID STATE IONICS			English	Article						oxygen ion conductors; oxygen generation; air separation; combined cycle power generation; methane conversion; synthesis gas generation; hydrogen generation		Ion transport membranes (ITMs) are made from ceramic materials that conduct oxygen ions at elevated temperatures. Successful application of ITM technology will allow significant improvement in the performance of several large-scale industrial processes. The ITM Oxygen process, in which ITMs are used to separate high-purity oxygen from air, has the potential for significant advantages when integrated with power generation cycles. The ITM Syngas process, by combining air separation and high-temperature syngas generation processes into a single compact ceramic membrane reactor, has the potential for substantially reducing the capital investment for gas-to-liquid (GTL) plants and for distributed hydrogen. The development efforts are major, long-term and high risk, and place severe demands on the performance and property requirements of the ITM materials. Air Products and Chemicals has joined with the U.S. Department of Energy, Ceramatec and other partners to develop, scale-up and commercialize these technologies. In addition, Air Products and Ceramatec are developing the SEOS(TM) Oxygen Generator, an electrically-driven, small scale, oxygen generation and removal technology using ITMs, which could have a significant impact in the global market for distributed oxygen and inert gases. This paper describes the stages of development of these three related technologies, their industrial applications, and the technical hurdles that must be overcome before successful commercialization. (C) 2000 Elsevier Science B.V. All rights reserved.	Air Prod & Chem Inc, Allentown, PA 18195 USA; Ceramatec Inc, Salt Lake City, UT USA	Dyer, PN (reprint author), Air Prod & Chem Inc, 7201 Hamilton Blvd, Allentown, PA 18195 USA.							13	344	353	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0167-2738			SOLID STATE IONICS	Solid State Ion.	OCT	2000	134	1-2					21	33		10.1016/S0167-2738(00)00710-4		13	Chemistry, Physical; Physics, Condensed Matter	Chemistry; Physics	373HK	WOS:000165283100003		
J	Tan, XY; Liu, SM; Li, K; Hughes, R				Tan, XY; Liu, SM; Li, K; Hughes, R			Theoretical analysis of ion permeation through mixed conducting membranes and its application to dehydrogenation reactions	SOLID STATE IONICS			English	Article						ion permeation; membranes; dehydrogenation reactions	SOLID ELECTROLYTES; HIGH-TEMPERATURE; TRANSPORT-PROPERTIES; PROTON; CERAMICS; HYDROGEN; PERFORMANCE; REACTORS; OXIDES	In this study, a mathematical model has been developed for permeation of ions through a thin mixed conducting solid oxide membrane. This model correlates transport properties of mobile defects to some important parameters such as diffusion coefficient, film thickness. temperature and gas partial pressures. The theoretical analysis was carried out using the SrCe0.95Yb0.05O2.975 (SCY) mixed conducting membrane and the effects of various parameters on the ionic permeation are discussed in detail. The predicted values generated from the present model show good agreement with literature experimental data given by Hamakawa et al. [J. Electrochem. Sec. 141 (1994) 1720]. Based on the available equilibrium data of the (SCY) mixed conducting membrane, the simulated results reveal that. at an operating temperature of less than 1200 K, the membrane behaves as a mixed proton-hole conductor, while it switches to a mixed oxygen vacancy-hole conductor when the operating temperature is increased to 1600 K. (C) 2000 Elsevier Science B.V. All rights reserved.	Univ Salford, Dept Chem Engn, Salford M5 4WT, Lancs, England; Natl Univ Singapore, Dept Environm Chem & Engn, Singapore 119260, Singapore	Hughes, R (reprint author), Univ Salford, Dept Chem Engn, Salford M5 4WT, Lancs, England.		Liu , Shaomin /E-3669-2010; Li, Kang/G-8094-2012	Li, Kang/0000-0003-2365-7438				35	13	15	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0167-2738			SOLID STATE IONICS	Solid State Ion.	DEC	2000	138	1-2					149	159		10.1016/S0167-2738(00)00782-7		11	Chemistry, Physical; Physics, Condensed Matter	Chemistry; Physics	394PK	WOS:000166532300014		
